2025-10-04T02:06:16+0800 | INFO | api.index | uPnl: {'as_of': '2025-10-03T18:06:13.410790Z', 'combined': -75.43019061000018, 'perAccount': {'fund2': 335.6590001799998, 'fund3': -411.08919079}}
2025-10-04T02:06:16+0800 | INFO | api.index | END OF PAYLOAD
2025-10-04T02:06:20+0800 | INFO | api.index | GET /api/metrics/bulk accounts_param=fund2,fund3
2025-10-04T02:06:20+0800 | INFO | api.index | GET /api/accounts
2025-10-04T02:06:20+0800 | INFO | api.index | GET /api/metrics/bulk accounts_param=fund2,fund3
2025-10-04T02:06:20+0800 | INFO | api.index | GET /api/metrics/bulk accounts_param=fund2,fund3
2025-10-04T02:06:20+0800 | INFO | api.index | GET /api/metrics/bulk accounts_param=fund3,fund2
2025-10-04T02:06:20+0800 | INFO | api.index | GET /api/metrics/bulk accounts_param=fund3,fund2
2025-10-04T02:06:23+0800 | INFO | api.index | START OF PAYLOAD
2025-10-04T02:06:23+0800 | INFO | api.index | window: {'startDay': '2025-10-01', 'endDay': '2025-10-04', 'mode': 'MTD'}
2025-10-04T02:06:23+0800 | INFO | api.index | accounts: ['fund2', 'fund3']
2025-10-04T02:06:23+0800 | INFO | api.index | returns: {'2025-09-30 00:00:00': {'fund2': 0.0, 'fund3': 0.0, 'total': 0.0}, '2025-10-01 00:00:00': {'fund2': 0.0030744219462570666, 'fund3': -0.008874337157582235, 'total': -0.003003720821240563}, '2025-10-02 00:00:00': {'fund2': -0.0039666682155833355, 'fund3': -0.006519601164036382, 'total': -0.005257657636908886}, '2025-10-03 00:00:00': {'fund2': 0.0, 'fund3': -7.97833674928139e-05, 'total': -4.029436690144994e-05}, '2025-10-04 00:00:00': {'fund2': 0.0, 'fund3': 0.0, 'total': 0.0}}
2025-10-04T02:06:23+0800 | INFO | api.index | balancePreUpnl: {'2025-09-30 00:00:00': {'fund2': 45794.998, 'fund3': 47413.8523, 'total': 93208.85029999999}, '2025-10-01 00:00:00': {'fund2': 45935.79114688, 'fund3': 46993.085788749995, 'total': 92928.87693562999}, '2025-10-02 00:00:00': {'fund2': 45753.57910418, 'fund3': 46686.70961194, 'total': 92440.28871612}, '2025-10-03 00:00:00': {'fund2': 45753.57910418, 'fund3': 46682.98478903, 'total': 92436.56389321}, '2025-10-04 00:00:00': {'fund2': 45753.57910418, 'fund3': 46682.98478903, 'total': 92436.56389321}}
