,date,end_balance_fund2,end_balance_fund3,end_balance_combined,daily_return_combined,daily_drawdown_combined
0,2025-10-01,45937.75733897,46995.057004,92932.81434297,0.0,0.0
1,2025-10-02,45756.69084672,46691.83282605,92448.52367277,-0.005211191263537085,-0.0052111912635371335
2,2025-10-03,45757.275549,46690.284151730004,92447.55970073,-1.0427122053457971e-05,-0.005221564047863275
3,2025-10-04,46385.25602761,46689.35949551,93074.61552312,0.006782827198683172,0.0
4,2025-10-05,46474.1801967,46687.26057631,93161.44077300999,0.0009328563905637299,0.0
5,2025-10-06,46468.52569652,46745.98809499,93214.51379151,0.0005696886829962278,0.0
6,2025-10-07,46472.6743099,45623.59520937,92096.26951927,-0.011996460923898056,-0.011996460923898
7,2025-10-08,46472.14778368,45624.36592132,92096.51370499999,2.651418252508364e-06,-0.011993841313281014
8,2025-10-09,46458.87306321,45701.78141345,92160.65447666,0.0006964516796528208,-0.011305742764556407
9,2025-10-10,46536.6823968,44877.484499160004,91414.16689596,-0.008099851123442692,-0.01931401905476629
10,2025-10-11,46574.88079569,44880.72988537,91455.61068106,0.0004533628266520928,-0.018869412486386898
11,2025-10-12,46577.50434745,45144.1856194,91721.68996685,0.002909381762458585,-0.016014929048484457
12,2025-10-13,46582.58596599,45182.25529759,91764.84126358,0.0004704590238753248,-0.015552004392496625
13,2025-10-14,46624.65648481,45379.26285796,92003.91934277001,0.0026053341987841705,-0.012987188362615894
14,2025-10-15,46617.27772551,45383.179021150005,92000.45674666,-3.76353109166061e-05,-0.013024334896660524
15,2025-10-16,46621.58724806,45210.84927692,91832.43652498,-0.0018262976904850348,-0.014826846274403704
16,2025-10-17,46629.73709674,45197.98062604,91827.71772278,-5.138491777600951e-05,-0.014877469315903002
17,2025-10-18,46629.526602,45197.43710428,91826.96370627999,-8.211208104791368e-06,-0.014885558362011171
18,2025-10-19,46353.95145267,45457.38810452,91811.33955719,-0.0001701477263253981,-0.01505317334442615
19,2025-10-20,46302.40602489,45475.09430831,91777.5003332,-0.00036857346982632766,-0.015416198613921045
20,2025-10-21,46295.40646671,45468.0428199,91763.44928661,-0.00015309903341220732,-0.015566937442226562
21,2025-10-22,46422.02871546,45491.60795554,91913.636671,0.0016366798061493437,-0.01395573572823259
22,2025-10-23,46418.80868118,45509.45855167,91928.26723285,0.00015917727096770307,-0.013798779893192475
23,2025-10-24,46417.68898735,45524.13618866,91941.82517601,0.0001474839412087814,-0.013653331050426258
24,2025-10-25,46414.88573132,45587.30773286,92002.19346417999,0.0006565922316033035,-0.013005703489926215
25,2025-10-26,46189.41554938,45651.99034851,91841.40589789,-0.001747649270477325,-0.014730623352187344
26,2025-10-27,46204.812878,45654.37840724,91859.19128524,0.00019365325667775046,-0.014539822728694538
27,2025-10-28,46282.32883002,45654.42224124,91936.75107125999,0.0008443334296199811,-0.013707765757465058
28,2025-10-29,46392.05706301,45654.42224124,92046.47930425,0.0011935187148930382,-0.012530607517542999
29,2025-10-30,46577.94614512,45654.42224124,92232.36838636,0.0020195132232658786,-0.010536400021854301
30,2025-10-31,45983.6814215,45654.42224124,91638.10366274,-0.006443125488555523,-0.0169116381628714
