,date,end_balance_fund2,end_balance_fund3,end_balance_combined,daily_return_combined,daily_drawdown_combined
0,2025-05-01,49095.278449670004,49600.21285868,98695.49130835,0.0,0.0
1,2025-05-02,49049.16253905,49602.213977160005,98651.37651621,-0.00044697879867861,-0.0004469787986785647
2,2025-05-03,49153.67853568,49646.66128646,98800.33982214,0.0015099972366379166,0.0
3,2025-05-04,48975.95715864,49921.03311361001,98896.99027225,0.0009782400575137906,0.0
4,2025-05-05,49042.43551974,49922.016558810006,98964.45207855,0.0006821421573528497,0.0
5,2025-05-06,48910.28232087,49858.00005884,98768.28237971,-0.00198222386644753,-0.001982223866447555
6,2025-05-07,48949.0563569,49854.51815912,98803.57451602,0.00035732256813303387,-0.0016256095916371306
7,2025-05-08,48612.34881005,49856.65295956,98469.00176961001,-0.0033862413181796613,-0.005006346203450371
8,2025-05-09,48543.88469601,50134.76014081,98678.64483681999,0.0021290260228339353,-0.002887978821962889
9,2025-05-10,48388.20590209,50079.17956304,98467.38546513,-0.002140882376722275,-0.005022678375720897
10,2025-05-11,48381.05785258,50082.652519330004,98463.71037191001,-3.73229491433813e-05,-0.0050598138636946685
11,2025-05-12,48320.79755025,50084.22574952,98405.02329977,-0.0005960274289720235,-0.005652825504818474
12,2025-05-13,48324.49122804,50087.452746220006,98411.94397426001,7.032846757160094e-05,-0.005582894591802134
13,2025-05-14,48326.72813125,50091.13855907,98417.86669031999,6.018289874987204e-05,-0.0055230476878321815
14,2025-05-15,48199.185201550004,50065.110171570006,98264.29537312001,-0.0015604007927056962,-0.0070748303125476595
15,2025-05-16,48191.81129076,50065.332665660004,98257.14395642001,-7.277736712851812e-05,-0.007147092792153189
16,2025-05-17,48169.23009261,50252.944230580004,98422.17432319,0.0016795762641257372,-0.005479520615438625
17,2025-05-18,48169.23009261,50328.051498060006,98497.28159067,0.0007631132719478906,-0.004720588838396296
18,2025-05-19,48158.67572792,50381.82089599,98540.49662391,0.00043874341039784603,-0.004283916555244518
19,2025-05-20,48160.92977136,50409.34160469,98570.27137605,0.00030215752061457657,-0.003983053452234877
20,2025-05-21,48078.97094363,50402.19529095,98481.16623458001,-0.0009039758156904609,-0.004883428683931871
21,2025-05-22,48124.05647523,50455.598076550006,98579.65455178,0.0010000726125174442,-0.003888239854696393
